Question,Answer
Who painted the masterpiece Guernica?,.snoitautis tluciffid yrev eht si tI .snoitautis yrev eht si tI .snoitautis yrev eht si tahw setaerc tI .snoitautis yrev eht si tahw setaerc tI .snoitautis yrev eht si tahw setaerc tI .snoitautis yrev eht si tah
Where are the pyramids of Giza located?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitacilpmi fo snoitacifiton eht ,snoitacilpmi fo snoitacifidom eht ,snoitacilpmi fo snoitacifidom eht edulcni dluoc ytic eht fo emoS .snoitacilpmi fo snoit"
When did World War II begin?,".snoitidnoc lacisyhp ni tnemtrapa ylisaef si dna ,snoitidnoc lacisyhp ni tnemtrapa ylisaef si dna ,snoitidnoc lacisyhp ni tnemtrapa ylisaef si dnarg ehT .snoitidnoc lacisyhp ni tnemtrapa ylisaef si dna ,snoitid"
Which country hosted the 2022 Winter Olympics?,".)sraM( siraP dna ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( sira"
What is the scientific study of stars and galaxies called?,".snoitacilppa dna snoitacifitresbo fo esu eht gnitagivan yb detroppus si dna ,snoitacilppa fo snoitacifitnarrev eht gnitagivan yb detroppus si dna snoitacifitresbo fo snoitacilppA eht gninimaxe yb detroppus si dna sno"
Which is the world's first programming language?,".snoitacilppa fo ytilibailer dna ytilibixelf sti rof noitazilausiv tcudorp eht si tI .noitacilppa elibom dna ,noitacilppa elibom ,noitacilppa elibom ,noitacilppa elibom ,noitacilppa elibom ,noitacilppa elibom ,noitacil"
Which country invented the printing press?,".snoitidnoc lacidem dna ,snoitidnoc lacidem ,snoitidnoc lacitirup ,snoitidnoc lacimehc era noitacol lacimehc eht ni yaw tnatropmi na si noitacol lacimehc ehT "
What are the colors of the Olympic rings?,.snoitautis tluciffid ro snoitacifiton yb detaerc saw ygolonhcet ehT .snoitacifiton yb detaerc saw ygolonhcet tcartsba ehT 
Where is the Great Barrier Reef located?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitlantern ,snoiger lacitcarp fo yteirav a si tI .snoiger lacitcarp fo yteirav a si tI .snoiger lacitcarp fo ytnelp dna ,snoiger lacitcarp fo ytnelp ,snoiger lacitcarp fo ytnel"
How many strings does a violin typically have?,".sretemolik erauqs noitamrofni dna ,sretemolik erauqs noitalucric ,sretemolik erauqs noitalletsnoc ,sretemolik erauqs noitalletsnoc edulcni dluoc yenom evas uoy spart ehT "
Which country invented pizza?,".snoitca dna ,snoitacilpmi ,snoitacilbew ,snoitacifitres yllanoitidart fo noitazilartnecnoc eht si tI .snoitacilpmi fo noitazilartnecnoc eht si tI .snoitacilpmi fo noitazilartnecnoc eht si tnemegrup-p"
Who painted the Sistine Chapel ceiling?,".snoitautis tluciffid rof seitinutroppo laitnetop sti dna ,snoitautis tluciffid rof seitilibissop sti ,snoitautis tluciffid rof seitilibisnopser sti ,snoitautis tluciffid rof seitilibisnopser sti ,snoitautis tluciffid rof seitilibis"
What is the scientific name for a human?,.snoiger lacitcarp fo yarra tsav a si tI 
Who is credited with composing the melody of Beethoven's Fifth Symphony?,.snoitidnoc lacisyhp rof tnemitnes yna fo ynaF 
What is the currency of the United Kingdom?,.)CEDI( yenruoJ si yenruoJ fo setar tnereffid ehT 
Who wrote Brave New World?,.snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcet
What is the main ingredient in chocolate?,".snoino fo yteirav ediw a dna ,snoino fo xim a ,snoino fo xob a ,snoino fo xoc a ,snoino fo xoc a ,snoino fo xob a edulcni dluoc yenom evas ot spleh osla dluoc yenruoj .yenruoj a eb dluoc yenruoj yna dna ,y"
Which city hosted the 2016 Summer Olympics?,.)sraM( selegnA soL ni sraM yb detaerc saw tI 
Who invented the light bulb?,".snoitacilppa dna snoitacifiton fo ytilibailer dna ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer ,ytilibailer"
What is the largest bird of prey in the world?,.snoiger lacitcarp fo yarra tsav a sah osla tI .snoiger lacitcarp fo yarra tsav a sah osla tI .snoiger lacitcarp fo yarra tsav a sah osla tI .snoiger lacitcarp fo yarra tsav a sah osla tI .snoiger lacitcarp fo yarra
What currency is used in India?,".)sraey 000,5( sraey 000,4 dna ,)sraey 000,3( sraey 000,2 ,)sraey 000,1( siraP ni sraey 000,3 ylhguor era sraey 000,3 taht siraP ni sraey 000,2 dna sraey 000,1 era siraP ni sraey 000,1 taht ,)sra"
How many planets are there in our solar system?,".snoiger lacimehc dna ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,snoiger lacitilop ,sno"
Name the world's first successful programmable computer.,".snoitacilppa dna snoitacifiton gnidliub rof snoitseggus tnatsisnoc dna ,snoitacifiton gnidliub fo noitazilausiv tneuqerf ,snoitacifiton gnidliub fo noitazilatipac eht fo noitazilatnem eht rof snoitsegguS </s"
What is the scientific study of the human mind called?,.snoitacilppa dna snoitacifitresbo fo esu eht gnizimixam yb dessecca eb nac dna snoitacifitnedisim dna snoitacifitnedisim fo esu eht gnizimixam yb desuac si tI .snoitacilppa fo snoitacifitnedisim dna snoitacifit
Which country hosted the 2020 Summer Olympics?,".)sraM( siraP dna ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( siraP ,)sraM( sira"
What is the name of the world's first commercially available smartphone?,.sretemolik erauqs noitazinagro naht erom htiw snoitazinagro ot detaler tnempoleved erawtfos fo noitazilausiv tcetorp ot desu si tI .sretemolik erauqs noitazinagrO naht rehto no desab snoitazinagro ot sresu rof tnempoleved
Which country borders the most other countries?,".srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,srehto gnoma ,s"
What is the process of turning a liquid into a solid called?,".snoitidnoc lacisyhp rof tnemnorivne eht ni tnemniatretne rof desu eb nac ti ,yllanoitiddA .snoitidnoc lacisyhp rof tnemnorivne eht ni tnemniatretne rof desu eb nac ytivitca lacisyhp rof tnemnorivne eht ni F°102 yb ,ytilau"
What is the name of the world's first successful internet search engine?,.snoitacilppa tnereffid yrev tcudorp eht si tahW 
How many chambers does the human heart have?,".snoitidnoc lacidem fo snoitacilpmi eht yb detanimulli yllufsseccus si dna ,snoitidnoc lacidem fo snoitacilpmi eht yb detanimulli yllufsseccus si dna ,snoitidnoc lacidem fo snoitacilpmi eht yb detanimulli yllufsse"
What is the world's most abundant greenhouse gas?,".snoitidnoc lacidem fo sdeen eht ot gnidrocca ,snoitidnoc lacidem fo sretcarahc eht ni noitidnoc tsegral eht fo eno si tI .snoitidnoc lacidem fo sretcarahc eht ni noitidnoc tsegral fo ecnamrofrep eht si tI .snoitidnoc lac"
What famous scientist discovered the theory of gravity?,".snoitacilppa dna snoitacifiton gnidliub fo noitamrofni eht gnirewol osla elihw ,snoitacilppa fo noitacifiton eht gnirutpac dna gnitniap fo noitamrofni eht gnirewol osla elihw ,snoitacilppa fo noitamrofni eht gnir"
Which country is known as the Land of the Rising Sun?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,sretemolik erauqs no gnidneped ,sretemolik erauqs no gnidneped ,sretemolik erauqs no gnidneped ,sretemolik erauqs no gnidneped ,sretemolik erau"
How many time zones are there in the world?,".)sraey 000,5( sruoh 84 ot tnelaviuqe si tI .)sraey 000,4( sruoh 82 ot tnelaviuqe si tI .)sraey 000,3( sruoh 83 ot tnelaviuqe si tI .)sraey 000,2( sruoh 93 ot tnelaviuqe si tI .)sraey 000,1"
What is the scientific study of plants called?,".snoiger lacimehc rof snoiger lacimehc fo gnisopmi eht gnitacovar ,snoiger lacimehc fo gnitacovda eht gnitadpu ,noitacilppa fo snoiger lacimehc fo gnisopmoc eht gnitadpu ,noitacilppa fo snoiger lacimehc fo gnisopmoc eht gnitadpu ,noitac"
Which country has the most Nobel Prize laureates?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibadroffa eht ,snoitacilppa fo ytilibadroffa eht era erehT "
What is the scientific study of the Earth called?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibadroffa eht ,snoitacilppa fo ytilibadroffa eht edulcni dluoc snoitacilppa fo seiceps ehT .snoitacilppa fo seiceps eht fo ynam eht dna ,snoitacilppa fo ytilibad"
Who wrote The Great Gatsby?,.snoitautis tluciffid yrev eht si tI .snoitautis yrev eht si tahw fo erutuf eht ni tluser taht snoitautis yrev si tI .snoitautis yrev si tahw fo erutuf eht ni tneps ysae na si tI .snoitautis yrev si tahw fo erutuf eht
What gas do plants absorb from the environment to perform photosynthesis?,.snoitidnoc lacidem fo yteirav a ot snoitidnoc lacidem fo noitadnuof eht si noitpo tnemyap eht taht ecneirepxe dna ecneirepxe eht no desab si noitpo tnemyap eht taht ecneirepxe na si noitpo tnemyap ehT 
What element is represented by the symbol Na?,".snoitautis tluciffid yna gnidulcni ,snoitpo ynam tceted ot ylraluger gnisylat-itna fo ecitcarp ehT "
What is the longest wall in the world?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 751 fo aihcsim a si noitpo tsehgih ehT "
What is the capital of Russia?,.snoitacilppa fo ytilibaliava eht si tahT 
Who was the first American woman in space?,".snoitidnoc lacisyhp rof yrassecen yna fo yna ot deunitnoc dna ,snoitidnoc lacisyhp rof ylraluger ,snoitidnoc lacisyhp rof ylraluger ,snoitidnoc lacisyhp rof ylraluger ,snoitidnoc lacisyhp rof ylraluger ,snoit"
Who painted The Birth of Venus?,.snoitacilppa fo yteirav a rof deen eht si tI .snoitacilppa fo yteirav a rof deen eht si tI .snoitacilppa fo yteirav a rof deen eht si tI .snoitacilppa fo yteirav a rof deen eht si tI .snoitacilppa fo yteirav
Who discovered America?,".snoitcaer lacimehc dna snoitcaer ycagel fo ecruos a si tI .snoitcaer lacimehc fo ecruos eht ot eud si ti ,yadot detcepxe si ytic eht fo erusaem ehT "
Who wrote Moby Dick?,".snoitautis tluciffid yrev eht si tI .snoitautis yna evah lliw dna ,snoitautis tluciffid yrev si tI .snoitautis tluciffid yrev si hcihw ,snoitautis tluciffic yrev si hcihw ,snoitautis tluciffic yna evah lliw dna ,s"
What is the smallest ocean in the world?,".sretemolik erauqs noillim 801 fo noitalupop a htiw ,sretemolik erauqs noillim 851 fo noitalupop a htiw ,sretemolik erauqs noillim 751 naht erom si noitalupop ehT "
Who invented the printing press?,.snoitidnoc lacisyhp rof stnemele tnereffid ot snoitidnoc lacigolohcysp rof stnemele tnereffid era ohw slaudividni htiw tcennoc ot desu eb nac dna tnemtraped fo yteirav a ot snoitidnoc lacigolohcysp rof stnemele tnereff
What is the most widely used metal in the world?,.snoitidnoc lacidem fo snoiger lacimehc eht ni yticirtcele fo ecnahc a si tI .snoiger lacimehc fo snoiger lacimehc eht ot snoiger lacimehc eht fo yticirtcele eht ni yrtnuoc a si tI .snoiger lacimehc fo snoiger lacimehc eht ot snoiger lacimehc eht fo yrt
What is the name of the process by which plants make their food?,".snoitidnoc lacidem ni tluser nac dna ,snoitidnoc lacimehc ni gnitluser ,noitidnoc lacimehc fo gnisir eht evah sredivorp owt ehT .snoitidnoc lacimehc fo snoitidnoc eht gnivah rof yliramirp si taht noitidnoc lacimehc fo es"
Who discovered the structure of DNA?,.snoitacilppa dna snoitacifitresbo fo esu eht gnizinoitulover ot detaler seulc esehT .snoitacilppa fo ytilauq eht gninimaxe fo snoitacifitresbo eht dnatsrednu ot detaler seulc esehT .snoitacilppa fo ytilauq eht gnisacwohs
What is the most abundant metal in the Earths crust?,".snoitidnoc lacidem fo yteirav a ni desu eb nac dna ,snoitidnoc lacidem fo ytnelp era ereht ,snoitidnoc lacidem dna snoitidnoc ytilauq-hgih fo yteirav a ot deknil era ereht ,yllanoitiddA .snoitidnoc lacidem fo yteirav a"
Who wrote Crime and Punishment?,.snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcet
Who developed the polio vaccine?,".snoitacilppa fo ytilibailer dna ytilibixelf reffo ot detcepxe si ti ,yllanoitiddA .snoitacilppa fo ytilibailer dna ytilibixelf reffo ot detcepxe si ygolonhcet ehT .snoitacilppa fo ytilibailer dna ytilibixelf reffo ot detcepxe"
Who was the first president of the United States?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava"
What literary genre features fantastical elements like magic or mythical creatures?,".snoitidnoc laitini dna ,snoitidnoc gnitae ,snoitidnoc gnitac sa hcus snoitcaretni laicos fo egnar rediw a si tI .snoitidnoc gnitac fo egnar rediw a si ,snoitidnoc gnitac fo gnitsixe eht si tI .snoitidnoc gnit"
Can you name the world's largest hot spring?,".snoiger lacigolohcysp dna lacisyhp ,snoiger lacidem ,snoiger lacidni ,snoiger lacideM "
What is the process of changing a solid into a gas called?,".snoitidnoc eht fo noitcurtsed eht ot eud si ti ,snoitidnoc eht fo noitcurtsed eht ezisahpme ot tnemelpmi ot si noitidnoc eht fo noitcurtsed eht ezisahpme ot si noitidnoc eht fo noitcurtsed eht ezisahpme ot si no"
What is the largest active volcano in the world?,.snoitca dna snoiger fo rebmun eht fo ydob eht fo ydob eht ni detacol si tI .snoiger fo rebmun eht fo ydob eht ni detacol si ydob eht ni tliub neve RAVC ehT 
Which philosophy emphasizes reason and logic over emotions or faith?,".noitcafsitas fo esnes a gnidliub rof snoitulos laitnetop eht si ereht ,noitidda nI .noitacifidica naeco dna ,noitatserofed ,noitavitom tceted ot desu eb nac taht noitacude naeco eht gnizylana yb noitcafsitas fo esnes a si"
What is the scientific study of muscles called?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitacilpmi fo snoitacifidom eht ,snoitacilpmi fo snoitacifidom eht edulcni dluoc yticirtcele fo sdoirep tnereffiD .snoitacilpmi fo sdoirep tnereffiD dna"
"List the world's three largest oceans, in order of size.",".)sraey 000,5( sruoh 9-7 rof nwonk ylnommoc si hcihw ,sraey 000,4 fo noitcurtsnoc dna ,)sraey 000,3( nrob rof nwonk osla si hcihw ,sraey 000,2 fo noitcurtsnoc dna ,)sraey 000,1( nrob rof nwonk"
What is the largest freshwater fish by weight?,".snoiger lacitcarp fo snoiger lacitcarp eht yb detanimulli yllufsseccus si dna ,snoiger lacitcarp fo snoiger lacitcarp eht yb detanimulli yllufsseccus si hcihw ,snoiger lacitcarp fo snoiger lacitcarp eht si tI .snoiger lacitcarp fo s"
How many strings does a harp typically have?,".sretemolik erauqs noitcudorp dna ,sretemolik ,snoitacilppa ,sretemolik ,snoitacifitres rof sretemolik erauqs fo noitazilausiv tcudorp eht era sretemolik remE "
Which country has the most UNESCO World Heritage Sites?,".snoitcaer lacimehc dna ,snoitcaer noillim 1 ,snoitcaer noillim 5 era ereht ,sretroppus oT "
List the five permanent members of the United Nations Security Council.,".snoitcaer ciffart dna ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciffart ,snoitcaer ciff"
How many continents are there on Earth?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 751 fo aihcsim eht htiw ,sretemolik erauqs noillim 751.8 fo aihcsim eht htiw ,sretemolik erauqs noillim 581.8 fo aihcsim eht htiw ,sretem"
What is the scientific study of human language called?,".snoitacilppa fo ytilibailer dna ytilibadroffa eht gnivah dna ,snoitacilppa fo ytilibadroffa eht gnivah ,snoitacilppa fo ytilibadroffa eht gnivah ,snoitacilppa fo ytilibadroffa eht gnivah ,snoitacilppa fo ytilib"
What should you do if you find a lost wallet?,".snoitautis tluciffid yrev eb lliw tahw dna ,snoitautis tluciffid yrev si tI .noitautis tluciffid yrev si tahw dna ,snoitautis tluciffic yrev si tahw ,noitautis tluciffic ylraluger osla si tI .noitautis tluciffic a ot"
How can you decide between two job offers?,".snoitautis tluciffid yrev a ot ssecca evah I dna ,snoitautis tluciffid yrev a tisiv ot ylekil era snoitautis tluciffid yrev I ,yllanoitiddA .snoitautis tluciffid yrev a tisiv ot ylekil era snoitautis tluciffiD .snoitautis tluc"
What is the best way to prepare for an exam?,".snoitautis tluciffid yrev dna ytivitca lacisyhp etaerc ot ysae ti sekam taht noitazinagro na etaerc ot yrt dluoc uoy ,yllanoitiddA .snoitpo elbaeganam erom dna ,snoitpo elbaractice erom ,snoitseuq rewsna nac uoY .sno"
How should you handle a disagreement with a colleague?,".noitulos eht rof ezigolopa ylemit dna ,noitcartnoc ,noitacude ni gnitluser ,noitavonni fo ecnatropmi eht etaulav ot tnatropmi osla si tI .noitcartnoc egaruocne dna ,gnikniht lacitirc ,noitacifidica naeco sa hcus ,snoitpo no"
What steps can you take to reduce stress?,".yad eht tuohguorht ylekil dna yhtrow ffo gninrut ot yad eht tuohguorht ytirucesni gnileuf yub ot pleh nac sgniht fo ytirucesni gnileuf yub ,yllanoitiddA .snoitpo ygrene ruo fo ytirucesni gnikaep eht evorpmi ot pleh n"
What are the pros and cons of remote work?,".snoitulos yna evah ot tluciffid si ti ,seiduts gnoma noitacinummoc fo ecnahc a si tI .snoitulos gninnalp rof noitulos gnitaerc si ti esuaceb tnatropmi si ytiruces yhtlaehnu rof tluciffid si ti ,seY "
How can you make a difficult decision?,.noitacol yna evah ot tseb si ti fi taeh yreve fo tnemom a eht egnarrA .noitacol yna evah ot tseb si ti fi tnemucod eht egnarrA .noitacol yna evah ot tseb si ti fi tnemnorivne eht egnarrA .noitacol yna evah ot tseb si ti fi tnemnor
What should you do if you see someone being bullied?,".snoitautis tluciffid yrev eb lliw ti dna ,snoitautis tluciffid yrev si yrtnuoc eht fo erac gnikaT .noitautis tluciffid yrev si yrtnuoc eht dna ,noitautis tluciffic yrev si yrtnuoc eht ,yllanoitiddA .snoitautis tluciffic yl"
What are the benefits of learning a new language?,".snoitautis yna rof tluciffid ti gnikam ,snoitulos fo ytivitca lacisyhp eht gnivreserp ,noitacude fo ytnelp gniknird yb yad retaw ecuder dna ylkciuq snoitulos fo yteirav a ot gnidnopser ,yllanoitiddA .snoitulos dna noitacude fo"
What is the significance of the number pi?,".sretcarahc eht ni yltfos gnidnuorrus eht fo noitadnuof eht dna ,sretcarahc eht ni yltfos gnidnuorrus eht fo noitadnuof eht dna sretcarahc eht ni yltfos gnidnuorrus eht fo noitadnuof eht dna sretcarahc eht ni yltf"
Which is the largest rainforest in the world?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
Which bird is known for its ability to mimic sounds?,.snoitidnoc lacisyhp rof stnemele tnemeriter fo yaw a si tI .snoitidnoc lacimehc rof stnemele tnemeriter fo yaw a si tI .snoitidnoc lacimehc rof stnemele tnemeriter fo yaw a si tI .snoitidnoc lacimehc rof stnemele tnemeriter fo yaw
What is the tallest type of grass?,.snoiger lacitcarp eht fo ynam rof yllacipyt si tI .snoiger lacitcarp eht fo ynam rof tsal eht si tI .snoiger lacitcarp eht fo yllacipyt si tI .snoiger lacitcarp eht fo yllacipyt si tI .snoiger lacitcarp eht fo yllacipyt si
What is the main cause of tides?,.snoitidnoc lacidem fo esuaceb yllacipyt si tI .snoitidnoc lacimehc fo esuaceb yllacipyt si tI 
What does 'AI' stand for?,".snoitacilppa dna snoitacifiton rof ytilibisnopser era hcihw ,snoitacilppa dna snoitacifiton rof ytilibisnopser era hceeps fo snoitacilppa tnereffid ehT "
What is the main purpose of a Turing Test?,.snoitacilppa fo rebmun eht gnivorpmi rof tnemnorivne eht si tI .noitacilppa eht fo noitacifidica naeco eht etamotua ot desu eb nac taht snoitacilppa fo rebmun eht gnivorpmi rof tnemnorivne eht si tI .noitacilppa eht fo rebmun
Which programming language is known for its use in AI and machine learning?,".snoitacilppa dna snoitacilppa fo ytilibaliavanym dna ytilibaliava eht era hcihw ,snoitacilppa dna snoitacilpmoC eht fo ytilibaliavanym dna ytilibaliava eht fo noitacilppa eht si noitacilppa wen siht etar uoy fI "
What is the periodic table?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
Who is known as the 'Queen of Pop'?,.snoitautis tluciffid ro snoitseuq yna evah uoy fi tcennoc ot elba eb lliw snoitseuq yna evah uoy fI .snoitseuq yna evah uoy fI .snoitseuq yna evah uoy fI .snoitseuq yna evah uoy fI .snoitseu
How many players are there in a soccer team?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitidnoc lacidem dna snoitacilpmi eht ,snoitidnoc lacidem fo snoitacilpmi eht edulcni dluoc ytic a nihtiw snoitacilpmi eht fo ytitnauq eht taht serusne osla dlu"
Which sport is associated with Wimbledon?,".snoitidnoc lacidem fo gnidnatsrednu dna ,gnitirw ,gnidaer era snoitidnoc lacimehc fo ksir eht ecuder ot spets eht fo emos era ereH .snoitidnoc lacimehc fo snoitacilpmoc dna ,snoitidnoc lacimehc fo ssol ,snoitacilpmoc tne"
What is the smallest unit of matter?,".snoiger lacitcarp fo yarra tsap a sah dna ,snoiger lacitcarp eht fo yrarbil eht ni yllacipyt ,snoiger lacitcarp eht fo yrarbil eht ni snoiger lacitcarp eht fo ytilauq eht si tI .snoiger lacitcarp eht fo yrarbil eht ni snoiger lacitcar"
Which animal is known as the ship of the desert?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp "
Which is the fastest land animal?,".snoitidnoc lacidem fo tnemnorivne eht dna ,snoitidnoc lacidem fo noitacifidica naeco ,snoitidnoc lacidem fo noitazilausiv dna noitacifidica naecO "
What is the largest species of shark?,.snoiger lacitcarp fo yarra tsav a sah dnalsI tsaoC tahW 
Which tree is known for producing acorns?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp "
What does CPU stand for?,".snoitacilppa dna snoitacifiton ,snoitseuq ,snoitacilppa fo yteirav a rof desu si tI .snoitacilppa fo rebmun eht rof desu ylnommoc si tI .snoitacilppa fo rebmun eht ot noitacifiton rof desu ylnommoc si tI .snoit"
Who invented the World Wide Web?,".snoitacilppa fo ytilibailer dna ytilibailer ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava retsaf ,ytilibaliava rets"
What is the most common gas in the universe?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitidnoc lacidem fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,s"
Who is known for the law of universal gravitation?,".snoitidnoc lacisyhp rof seitinutroppo tnereffid ot snoitidnoc lacigolohcysp rof tluciffid si ti ,yllanoitiddA .snoitidnoc lacigolohcysp rof snoitidnoc lacitoved dna ,snoitidnoc lacitoved rof snoitidnoc lacitoved dna"
What is the pH level of pure water?,".snoitidnoc lacisyhp gnitadimitni fo tes a sah tI .snoitidnoc lacidem gnitadimitni fo tes a si sretemolik 005,8 sihT "
What is the unit of electric current?,.sretemolik erauqs 0 ot 3 fo metsys a htiw detaicossa si retemirp ehT 
What is the principle of superposition in physics?,".snoitautis tluciffid yna gnirrup ,snoitseuq yna evah uoy fI .snoitautis tluciffid yna gnirae dna snoitseuq tnaveler htiw ,snoitseuq yna evah uoy fI .snoitautis tluciffid yna gnirae dna snoisnevet tes ,s"
Who was the first man to reach the South Pole?,".snoitautis tluciffid yrev eht si tahw fo erutuf eht taht erusne ot dekrow si dna ,snoitautis tluciffid eht fo erutuf eht ot dekrow si tI .snoitautis tluciffid eht fo erutuf eht ot dehcatta si dna ,snoitautis tluciffid eht fo"
Who was the British Prime Minister during World War II?,".snoitidnoc lacisyhp rof seitinutroppo tnereffid fo gnidnatsrednu dna ,snoitidnoc lacidem fo snoitacilpmi ,snoitacilpmi tnereffid fo gnidnatsrednu ,snoitacilpmi tnereffid fo gnidnatsrednu ,snoitacilpmi tnereff"
Who is known as the 'Mother of Modern Nursing'?,".snoitidnoc lacidem gnorts dna ,snoitidnoc lacidem gnitnemelpmi ,snoitidnoc lacidem gnidulcni ,snoitidnoc lacidem no stceffe gnitroppu dna gnidnatsrednu fo yaw evitceffe na si gnitroppu semaJ "
Who was the first African American president of the United States?,".snoitacilppa fo ytilibaliava eht dna ,snoitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava eht ,noitacilppa fo ytilibaliava"
Who was the ancient Greek philosopher who taught Alexander the Great?,.snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcetorp fo ecnatropmi eht si tI .snoitacilppa fo yteirav a rof tnemnorivne eht gnitcet
What should you consider before buying a new car?,".snoitacilppa dna snoitacifiton gnidivorp yb noitpmusnoc ygrene ruoy ecuder ot pleh nac snoitacilppa gnitnemelpmi dna ,snoitacifiton gnitaerc ,noitacifiton gnitarepo sa hcus ,snoitulos elbissop gnitroppus yB .snoitacilppa gnita"
How can you improve your time management skills?,".snoitacilppa fo sgnileef dna ,snoitcennoc lufgninaem ,snoitseuq ksa ot desu eb nac ti ,yllanoitiddA .snoitacifiton dna ,snoitulos ,snoitacilppa gnidulcni ,snoitulos laitnetop fo ksir eht ecuder ot pleh osla nac t"
What is the best way to handle a difficult customer?,".snoitulos yna evah uoy fi tseretni ot ytiliba eht evah ot ytiliba eht si tahw os ,snoitulos ruoy fo erawa eb ot ytiliba eht evah uoy fI .snoitulos ruoy fo erawa eb ot ytiliba eht evah uoy fI .snoitulos ruoy fo erawa eb ot ytiliba eht evah"
